"ID"	"count"	"names"
"-"	" 5812"	NA
"?"	"    1"	NA
"Beijing"	"   54"	NA
"Blau D5"	"    1"	NA
"Blau H10"	"    1"	NA
"Blau H11"	"    1"	NA
"Euro-American"	"    2"	NA
"Haarlem"	"    1"	NA
"M. unbekannte Art"	"    2"	NA
"Plasmid"	"    1"	NA
"S-type"	"    1"	NA
"Total bacteria genes"	"    6"	NA
"Ural"	"    1"	NA
"West-Africa 1"	"    2"	NA
"West-Africa 2"	"    2"	NA
"X-type"	"    1"	NA
