"ID"	"count"	"names"
"-"	" 7618"	"check study"
"10"	"    1"	"check study"
"Deutschland"	"    1"	"check study"
"external"	"33103"	"External"
"External"	" 2084"	"External"
"Intern"	"   56"	"Internal"
"internal"	"21243"	"Internal"
"Internal"	" 8660"	"Internal"
"Sierra Leone"	"    1"	"check study"
"Swaziland"	"    3"	"check study"
